Date,Service,InstanceType,Region,Cost,CPUUtilization,MemoryUtilization,NetworkIO,StorageUsed,RunningHours,Recommendation
2024-10-25,EBS,gp3,eu-central-1,20.42,0.0,0.0,41.93,261.64,730,delete_unused
2024-06-06,S3,Standard,eu-west-1,27.81,0.0,0.0,90.07,1270.09,730,optimal
2024-04-17,RDS,db.t3.micro,eu-west-1,12.15,14.1,29.24,118.15,894.79,686,optimal
2024-07-27,EBS,gp3,us-west-2,5.02,0.0,0.0,10.01,64.86,730,optimal
2024-03-31,Lambda,128MB,us-west-2,0.02,29.49,19.21,1.13,0.0,0,optimal
2024-06-19,Lambda,256MB,eu-west-1,0.05,16.49,26.38,0.06,0.0,0,optimal
2024-03-22,EC2,m5.large,us-east-1,53.5,55.69,60.69,122.66,114.49,581,optimal
2024-04-23,RDS,db.r5.large,eu-west-1,129.72,33.29,29.75,59.12,375.35,556,optimal
2024-04-26,RDS,db.t3.micro,ap-southeast-1,8.76,45.75,60.62,81.42,458.17,498,optimal
2024-07-23,S3,Intelligent-Tiering,us-east-1,61.44,0.0,0.0,88.28,5132.58,730,optimal
2024-05-22,S3,Glacier,ap-south-1,8.28,0.0,0.0,3.38,2010.8,730,optimal
2024-07-23,EBS,io1,us-east-1,65.03,0.0,0.0,61.13,534.52,730,delete_unused
2024-05-13,RDS,db.r5.xlarge,eu-west-1,205.9,45.2,63.53,103.41,376.89,419,optimal
2024-02-25,EBS,io2,eu-west-1,71.19,0.0,0.0,26.16,581.38,730,downgrade_to_gp3
2024-06-09,Lambda,128MB,eu-central-1,0.02,24.09,30.09,0.14,0.0,0,optimal
2024-10-22,RDS,db.t3.medium,us-east-1,43.99,26.75,69.47,18.96,367.52,623,optimal
2024-01-01,EBS,gp3,eu-west-1,18.55,0.0,0.0,85.11,240.14,730,optimal
2024-12-06,S3,Glacier,eu-west-1,10.81,0.0,0.0,12.71,2678.76,730,optimal
2024-12-05,EC2,t3.xlarge,ap-south-1,67.56,13.72,19.16,174.68,71.64,416,downsize
2024-12-07,Lambda,512MB,eu-central-1,0.09,35.49,52.75,1.63,0.0,0,optimal
2024-12-22,S3,Glacier,us-west-2,20.06,0.0,0.0,100.98,4917.96,730,optimal
2024-04-08,Lambda,1024MB,ap-southeast-1,0.17,38.69,52.47,5.05,0.0,0,optimal
2024-03-30,EBS,io1,eu-central-1,36.9,0.0,0.0,59.22,291.35,730,optimal
2024-01-01,S3,Intelligent-Tiering,us-west-2,17.9,0.0,0.0,50.26,1490.22,730,optimal
2024-08-08,EBS,io1,eu-central-1,39.2,0.0,0.0,92.9,309.5,730,optimal
2024-12-11,RDS,db.r5.xlarge,eu-central-1,244.22,39.68,34.54,21.63,494.82,486,optimal
2024-12-03,EC2,t3.xlarge,ap-south-1,73.36,15.88,31.54,79.16,61.69,443,downsize
2024-02-17,RDS,db.t3.medium,us-west-2,33.72,55.33,53.43,60.58,445.57,501,optimal
2024-03-16,EC2,t3.micro,us-west-2,5.9,42.39,43.13,69.39,76.04,586,optimal
2024-11-08,EC2,m5.xlarge,eu-central-1,137.86,35.89,43.12,132.09,164.38,689,optimal
2024-04-09,Lambda,1024MB,eu-central-1,0.18,52.05,57.72,1.74,0.0,0,optimal
2024-05-04,RDS,db.t3.micro,us-east-1,10.47,64.38,73.79,67.14,564.74,617,optimal
2024-04-22,RDS,db.r5.xlarge,eu-central-1,195.4,43.39,70.9,13.59,474.85,425,optimal
2024-10-12,RDS,db.t3.micro,eu-central-1,7.6,29.86,27.38,102.75,696.26,468,optimal
2024-08-25,EBS,io1,eu-central-1,88.27,0.0,0.0,43.46,685.5,730,downgrade_to_gp3
2024-09-15,Lambda,1024MB,us-west-2,0.17,64.49,57.19,0.03,0.0,0,optimal
2024-08-31,Lambda,512MB,us-west-2,0.09,25.8,78.5,0.0,0.0,0,optimal
2024-11-22,S3,Glacier,eu-central-1,18.82,0.0,0.0,27.71,4485.48,730,optimal
2024-11-16,RDS,db.t3.medium,eu-central-1,28.99,48.47,43.69,33.77,622.24,439,optimal
2024-12-31,S3,Standard,eu-west-1,32.91,0.0,0.0,49.92,1400.67,730,optimal
2024-06-20,S3,Glacier,us-east-1,17.31,0.0,0.0,14.2,4322.3,730,optimal
2024-03-11,RDS,db.t3.small,eu-central-1,15.72,54.27,37.2,8.16,204.79,478,optimal
2024-12-27,RDS,db.t3.micro,eu-central-1,10.65,27.49,20.86,70.41,400.58,608,optimal
2024-06-18,EBS,io2,eu-central-1,94.02,0.0,0.0,26.1,769.88,730,delete_unused
2024-08-03,Lambda,128MB,ap-south-1,0.02,35.32,29.98,0.11,0.0,0,optimal
2024-07-13,Lambda,128MB,eu-west-1,0.02,35.04,82.37,0.47,0.0,0,optimal
2024-06-01,Lambda,1024MB,ap-south-1,0.18,83.64,56.08,2.01,0.0,0,optimal
2024-10-06,EBS,gp3,eu-central-1,27.68,0.0,0.0,38.7,356.08,730,optimal
2024-08-11,Lambda,128MB,eu-central-1,0.02,26.82,18.49,3.39,0.0,0,optimal
2024-06-21,Lambda,256MB,eu-central-1,0.04,30.86,31.88,0.53,0.0,0,optimal
2024-03-06,EBS,gp2,eu-central-1,22.34,0.0,0.0,13.73,226.22,730,optimal
2024-12-05,EC2,t3.small,ap-southeast-1,11.21,2.81,5.0,46.34,248.86,538,optimal
2024-03-10,Lambda,256MB,us-east-1,0.04,30.32,86.75,3.09,0.0,0,optimal
2024-05-13,Lambda,512MB,us-west-2,0.09,47.49,28.04,4.66,0.0,0,optimal
2024-08-20,S3,Intelligent-Tiering,eu-central-1,94.16,0.0,0.0,26.68,7398.53,730,optimal
2024-05-22,Lambda,512MB,us-east-1,0.09,29.24,25.82,5.09,0.0,0,optimal
2024-08-28,EC2,m5.2xlarge,us-east-1,171.91,41.18,58.67,66.79,122.74,458,optimal
2024-04-24,EC2,c5.xlarge,us-east-1,21.64,14.24,5.89,312.66,108.54,131,terminate
2024-05-06,RDS,db.t3.micro,ap-south-1,8.3,30.39,47.41,6.73,313.69,478,optimal
2024-05-02,RDS,db.r5.large,ap-southeast-1,106.99,59.71,49.33,16.64,321.15,458,optimal
2024-10-15,RDS,db.r5.large,ap-southeast-1,121.83,38.56,39.46,8.61,929.26,531,optimal
2024-07-07,RDS,db.r5.xlarge,ap-south-1,230.67,62.14,33.49,25.97,360.57,458,optimal
2024-03-24,S3,Standard,ap-south-1,36.75,0.0,0.0,38.82,1578.32,730,optimal
2024-01-14,S3,Glacier,ap-southeast-1,15.44,0.0,0.0,87.45,4046.84,730,optimal
2024-07-11,Lambda,256MB,us-east-1,0.04,45.14,41.96,1.33,0.0,0,optimal
2024-10-30,RDS,db.t3.micro,ap-southeast-1,9.02,54.63,54.77,88.03,600.55,554,optimal
2024-12-16,EBS,gp2,ap-south-1,39.5,0.0,0.0,49.19,377.05,730,optimal
2024-06-26,EBS,io2,ap-southeast-1,18.92,0.0,0.0,27.85,145.21,730,downgrade_to_gp3
2024-09-16,S3,Standard,eu-central-1,93.36,0.0,0.0,46.6,4058.16,730,optimal
2024-09-07,EC2,m5.large,eu-west-1,54.39,13.59,14.16,122.41,20.2,570,downsize
2024-12-28,RDS,db.r5.large,us-west-2,154.35,49.16,53.54,40.04,397.57,667,reserved_instance
2024-11-29,S3,Glacier,ap-south-1,12.63,0.0,0.0,58.91,3007.48,730,optimal
2024-09-04,Lambda,1024MB,ap-southeast-1,0.18,51.32,70.76,0.68,0.0,0,optimal
2024-10-30,S3,Intelligent-Tiering,us-west-2,40.03,0.0,0.0,73.33,3280.92,730,optimal
2024-02-14,S3,Intelligent-Tiering,us-west-2,32.64,0.0,0.0,12.12,2717.0,730,optimal
2024-08-25,EBS,io2,eu-west-1,41.94,0.0,0.0,74.76,335.9,730,delete_unused
2024-06-15,RDS,db.r5.large,us-west-2,144.19,27.44,40.03,86.6,264.0,581,optimal
2024-05-12,S3,Intelligent-Tiering,ap-south-1,114.12,0.0,0.0,112.75,9543.12,730,optimal
2024-12-25,S3,Glacier,us-east-1,10.69,0.0,0.0,8.14,2624.81,730,optimal
2024-09-21,RDS,db.t3.micro,us-west-2,10.5,34.39,32.58,10.86,592.46,608,optimal
2024-09-07,EBS,gp3,ap-southeast-1,13.26,0.0,0.0,61.59,158.3,730,optimal
2024-12-30,Lambda,1024MB,us-east-1,0.18,67.26,36.05,0.01,0.0,0,reduce_memory
2024-02-17,S3,Standard,eu-central-1,163.37,0.0,0.0,83.5,7219.89,730,intelligent_tiering
2024-12-20,RDS,db.t3.medium,ap-southeast-1,46.38,72.07,18.0,40.01,513.63,697,optimal
2024-07-07,Lambda,512MB,eu-central-1,0.09,37.84,36.7,1.5,0.0,0,optimal
2024-10-08,S3,Intelligent-Tiering,ap-southeast-1,67.86,0.0,0.0,9.01,5261.54,730,optimal
2024-08-20,S3,Intelligent-Tiering,eu-west-1,46.61,0.0,0.0,65.99,3725.34,730,optimal
2024-04-28,EC2,t3.large,eu-west-1,17.56,3.81,10.05,197.39,117.72,222,optimal
2024-10-01,RDS,db.t3.small,us-west-2,22.62,66.33,64.82,63.89,854.08,647,optimal
2024-05-21,EBS,io1,us-east-1,31.43,0.0,0.0,33.71,245.37,730,downgrade_to_gp3
2024-05-31,RDS,db.t3.medium,us-west-2,35.8,32.53,62.11,3.77,857.54,554,optimal
2024-01-08,EBS,gp3,eu-west-1,7.03,0.0,0.0,77.72,87.06,730,delete_unused
2024-01-28,EBS,io1,ap-southeast-1,102.67,0.0,0.0,26.26,816.31,730,downgrade_to_gp3
2024-11-22,Lambda,128MB,us-east-1,0.02,53.71,60.77,4.25,0.0,0,optimal
2024-10-20,S3,Intelligent-Tiering,eu-central-1,6.16,0.0,0.0,19.89,507.23,730,optimal
2024-08-13,S3,Standard,us-east-1,126.45,0.0,0.0,66.53,5424.11,730,intelligent_tiering
2024-05-09,Lambda,128MB,us-east-1,0.02,28.7,86.4,0.0,0.0,0,optimal
2024-07-24,Lambda,128MB,ap-south-1,0.02,72.72,58.1,1.05,0.0,0,optimal
2024-11-18,EC2,t3.medium,us-west-2,28.56,33.32,42.32,144.33,40.38,676,optimal
2024-06-04,EC2,t3.large,us-east-1,55.55,42.2,33.27,69.55,99.38,671,optimal
2024-08-01,EBS,gp3,ap-south-1,14.62,0.0,0.0,32.97,189.65,730,optimal
2024-08-14,S3,Glacier,eu-central-1,2.81,0.0,0.0,115.05,708.01,730,optimal
2024-06-05,EBS,gp2,ap-south-1,44.15,0.0,0.0,58.33,438.65,730,optimal
2024-02-20,RDS,db.t3.small,eu-west-1,15.53,22.32,52.97,20.21,722.79,441,optimal
2024-03-21,RDS,db.t3.small,ap-south-1,15.12,70.95,51.69,51.14,690.44,438,optimal
2024-03-21,EC2,m5.large,eu-central-1,66.81,15.82,9.35,79.59,52.34,708,downsize
2024-08-28,S3,Standard,us-west-2,56.41,0.0,0.0,36.63,2339.36,730,optimal
2024-05-27,S3,Glacier,eu-central-1,14.43,0.0,0.0,38.69,3551.02,730,optimal
2024-02-06,RDS,db.t3.medium,ap-southeast-1,49.65,19.42,61.37,41.91,773.27,701,optimal
2024-12-04,RDS,db.r5.large,us-east-1,164.6,43.79,33.02,23.48,289.25,678,reserved_instance
2024-04-25,RDS,db.t3.medium,us-west-2,29.83,45.81,42.32,33.56,254.05,436,optimal
2024-01-31,RDS,db.t3.medium,ap-south-1,48.5,31.7,42.63,26.27,281.25,691,optimal
2024-05-27,Lambda,128MB,eu-central-1,0.02,58.91,3.3,0.1,0.0,0,optimal
2024-12-18,S3,Glacier,eu-central-1,9.44,0.0,0.0,52.66,2282.09,730,optimal
2024-05-19,EBS,io2,eu-central-1,43.02,0.0,0.0,32.71,338.18,730,delete_unused
2024-01-21,Lambda,512MB,ap-south-1,0.09,75.33,24.9,1.31,0.0,0,optimal
2024-05-08,EC2,t3.small,us-west-2,13.77,32.35,38.7,177.45,94.12,689,optimal
2024-10-27,EC2,c5.xlarge,eu-west-1,111.93,26.17,24.97,100.75,76.93,690,downsize
2024-01-21,RDS,db.r5.large,ap-south-1,155.84,44.53,52.97,12.6,742.77,626,reserved_instance
2024-05-22,RDS,db.r5.xlarge,eu-central-1,360.26,55.98,16.56,81.25,303.81,725,reserved_instance
2024-09-08,EC2,m5.xlarge,eu-west-1,102.99,25.46,24.42,72.9,84.14,518,downsize
2024-06-19,S3,Glacier,us-east-1,10.93,0.0,0.0,3.29,2842.99,730,optimal
2024-03-23,S3,Intelligent-Tiering,ap-southeast-1,72.02,0.0,0.0,42.41,5868.97,730,optimal
2024-09-10,S3,Glacier,eu-central-1,18.74,0.0,0.0,74.33,4712.32,730,optimal
2024-10-08,EC2,m5.xlarge,us-east-1,84.67,36.83,37.58,16.8,68.08,422,optimal
2024-05-09,S3,Standard,eu-central-1,15.89,0.0,0.0,68.05,721.85,730,optimal
2024-09-20,EC2,c5.xlarge,ap-south-1,98.49,27.19,22.9,46.15,69.69,573,downsize
2024-07-30,EC2,t3.large,ap-south-1,38.3,3.36,5.0,174.77,54.91,470,optimal
2024-11-14,Lambda,1024MB,us-east-1,0.17,27.25,45.12,0.38,0.0,0,optimal
2024-04-14,S3,Glacier,us-west-2,23.0,0.0,0.0,46.81,5500.07,730,optimal
2024-05-27,Lambda,1024MB,us-east-1,0.16,33.15,39.41,3.6,0.0,0,reduce_memory
2024-01-15,EBS,gp3,ap-southeast-1,3.48,0.0,0.0,37.88,44.14,730,optimal
2024-10-09,EC2,m5.2xlarge,eu-central-1,75.13,31.01,38.6,49.72,99.05,195,terminate
2024-04-25,EC2,m5.xlarge,us-east-1,49.0,7.98,5.0,140.14,137.51,257,optimal
2024-09-12,S3,Glacier,ap-southeast-1,18.09,0.0,0.0,16.11,4547.02,730,optimal
2024-05-19,Lambda,1024MB,eu-central-1,0.17,40.81,12.84,2.71,0.0,0,reduce_memory
2024-05-04,Lambda,256MB,eu-central-1,0.04,20.69,41.39,2.58,0.0,0,optimal
2024-04-07,EBS,gp3,us-east-1,54.13,0.0,0.0,22.77,710.12,730,optimal
2024-07-31,S3,Glacier,eu-west-1,19.75,0.0,0.0,1.99,4815.35,730,optimal
2024-01-02,S3,Glacier,eu-west-1,15.39,0.0,0.0,17.07,3678.98,730,optimal
2024-10-27,EBS,io2,us-west-2,52.08,0.0,0.0,25.44,397.44,730,downgrade_to_gp3
2024-09-04,S3,Intelligent-Tiering,ap-south-1,18.05,0.0,0.0,38.98,1438.02,730,optimal
2024-10-05,Lambda,1024MB,eu-west-1,0.17,14.37,77.72,0.99,0.0,0,optimal
2024-04-06,RDS,db.r5.xlarge,eu-central-1,258.34,19.35,71.99,31.68,523.65,519,downsize
2024-07-29,EC2,t3.2xlarge,ap-southeast-1,193.63,37.4,40.2,130.24,63.22,584,optimal
2024-12-27,Lambda,1024MB,ap-southeast-1,0.18,32.95,21.28,1.21,0.0,0,reduce_memory
2024-11-29,RDS,db.r5.large,us-east-1,106.49,37.81,48.94,29.06,756.94,464,optimal
2024-09-14,EBS,io1,us-east-1,31.95,0.0,0.0,66.54,245.18,730,optimal
2024-08-13,EC2,m5.2xlarge,eu-central-1,42.88,29.76,22.03,112.47,150.25,115,terminate
2024-03-14,Lambda,256MB,us-east-1,0.05,19.06,37.5,3.92,0.0,0,optimal
2024-08-28,S3,Intelligent-Tiering,ap-south-1,56.83,0.0,0.0,47.54,4746.55,730,optimal
2024-12-20,Lambda,128MB,eu-west-1,0.02,28.77,42.44,1.25,0.0,0,optimal
2024-12-11,EBS,io2,eu-west-1,10.42,0.0,0.0,17.26,80.87,730,downgrade_to_gp3
2024-09-06,EBS,gp2,ap-south-1,24.16,0.0,0.0,54.9,242.16,730,delete_unused
2024-11-19,S3,Standard,ap-southeast-1,111.17,0.0,0.0,46.25,5022.95,730,intelligent_tiering
2024-02-16,Lambda,128MB,ap-southeast-1,0.02,14.96,50.14,1.54,0.0,0,optimal
2024-12-26,EC2,m5.xlarge,us-west-2,78.04,11.4,14.75,35.92,46.1,406,downsize
2024-01-15,EC2,t3.2xlarge,us-east-1,131.26,33.64,23.31,148.75,44.59,400,optimal
2024-07-02,S3,Intelligent-Tiering,us-west-2,68.27,0.0,0.0,77.78,5246.47,730,optimal
2024-05-05,EBS,io2,ap-south-1,24.65,0.0,0.0,31.67,194.63,730,downgrade_to_gp3
2024-04-02,RDS,db.t3.small,us-east-1,23.87,55.84,57.7,41.79,612.73,712,optimal
2024-07-14,EBS,gp3,eu-central-1,40.7,0.0,0.0,33.77,515.53,730,optimal
2024-03-14,RDS,db.r5.large,ap-southeast-1,128.57,36.15,43.1,80.62,450.49,530,optimal
2024-08-23,S3,Glacier,us-east-1,9.58,0.0,0.0,67.08,2421.46,730,optimal
2024-08-26,S3,Glacier,ap-south-1,11.54,0.0,0.0,11.11,2923.15,730,optimal
2024-03-21,EC2,m5.xlarge,eu-west-1,133.3,5.32,5.0,29.48,69.32,701,downsize
2024-06-02,Lambda,512MB,eu-central-1,0.08,21.21,18.34,1.36,0.0,0,optimal
2024-06-03,RDS,db.r5.large,eu-central-1,103.77,37.26,49.27,113.01,503.17,454,optimal
2024-05-01,Lambda,512MB,ap-south-1,0.08,30.67,56.61,3.54,0.0,0,optimal
2024-05-31,S3,Standard,ap-southeast-1,73.41,0.0,0.0,142.99,3333.36,730,optimal
2024-07-21,S3,Standard,ap-south-1,40.43,0.0,0.0,7.59,1744.27,730,optimal
2024-12-17,EC2,c5.large,ap-southeast-1,50.6,14.53,25.93,28.33,129.19,608,downsize
2024-05-26,RDS,db.r5.xlarge,eu-west-1,235.35,56.77,14.07,4.48,507.72,512,reserved_instance
2024-11-21,RDS,db.r5.xlarge,eu-west-1,218.76,62.21,34.49,51.61,551.51,470,optimal
2024-11-17,EC2,c5.xlarge,ap-southeast-1,24.86,5.56,7.46,47.49,110.0,140,terminate
2024-06-07,Lambda,128MB,ap-south-1,0.02,23.01,19.85,0.13,0.0,0,optimal
2024-07-05,RDS,db.t3.micro,eu-west-1,9.62,32.2,48.47,10.31,434.22,567,optimal
2024-07-31,RDS,db.t3.small,us-west-2,22.41,32.87,40.52,97.65,168.43,676,optimal
2024-07-06,EBS,io1,us-west-2,56.62,0.0,0.0,83.11,467.35,730,optimal
2024-09-03,S3,Glacier,eu-west-1,6.72,0.0,0.0,5.37,1762.22,730,optimal
2024-02-28,Lambda,128MB,us-west-2,0.02,23.21,87.22,8.14,0.0,0,optimal
2024-04-25,Lambda,512MB,us-east-1,0.09,67.29,68.52,0.03,0.0,0,optimal
2024-07-21,EC2,t3.xlarge,ap-south-1,36.79,19.74,9.02,35.74,102.54,226,optimal
2024-08-20,S3,Glacier,ap-southeast-1,11.66,0.0,0.0,72.52,2783.49,730,optimal
2024-12-10,S3,Glacier,eu-central-1,13.35,0.0,0.0,18.13,3512.77,730,optimal
2024-11-22,S3,Standard,ap-southeast-1,115.87,0.0,0.0,94.33,5127.48,730,intelligent_tiering
2024-04-29,Lambda,128MB,ap-south-1,0.02,22.67,56.42,1.49,0.0,0,optimal
2024-10-14,S3,Glacier,us-west-2,27.81,0.0,0.0,43.83,7120.34,730,optimal
2024-11-27,EC2,c5.xlarge,eu-central-1,70.9,4.93,5.26,35.6,113.56,409,downsize
2024-11-28,Lambda,128MB,us-west-2,0.02,25.4,43.6,0.56,0.0,0,optimal
